reaction id,source,bx reaction score,kc reaction score,ds reaction score,gn reaction score
R-HSA-9685950,llama,,,1.0,1.0
R-HSA-109470,llama,,,0.0,0.0
R-HSA-5339538,llama,,,1.0,1.0
R-HSA-1497869,llama,,,0.5,0.5
R-HSA-9912371,llama,,,0.0,0.0
R-HSA-6794348,llama,,,0.666666666666667,0.5
R-HSA-9016751,llama,,,0.0,0.0
R-HSA-8982165,llama,,,0.0,0.0
R-HSA-9660538,llama,,,0.0,0.0
R-HSA-192925,llama,,,0.0,0.5
R-HSA-190662,biogpt,1.0,1.0,,
R-HSA-6787403,biogpt,1.0,1.0,,
R-HSA-183055,biogpt,1.0,0.0,,
R-HSA-9013568,biogpt,1.0,1.0,,
R-HSA-8865256,biogpt,1.0,1.0,,
R-HSA-5694441,biogpt,0.0,0.0,,
R-HSA-9710294,biogpt,1.0,1.0,,
R-HSA-77594,biogpt,1.0,1.0,,
R-HSA-2730833,biogpt,0.0,0.0,,
R-HSA-5683836,biogpt,1.0,1.0,,
R-HSA-1791131,biogpt,,,0.0,1.0
R-HSA-9913672,biogpt,,,1.0,1.0
R-HSA-200681,biogpt,,,0.3333333333333333,0.3333333333333333
R-HSA-432706,biogpt,,,0.0,0.0
R-HSA-8984001,biogpt,,,0.8,0.8
R-HSA-548843,biogpt,,,0.25,0.25
R-HSA-2173778,biogpt,,,0.0,0.0
R-HSA-879724,biogpt,,,0.0,0.0
R-HSA-6814088,biogpt,,,0.0,0.0
R-HSA-6809140,biogpt,,,1.0,1.0
R-HSA-9626914,gpt4omini,1.0,1.0,,
R-HSA-9762345,gpt4omini,1.0,1.0,,
R-HSA-444705,gpt4omini,1.0,1.0,,
R-HSA-2681694,gpt4omini,1.0,1.0,,
R-HSA-9028505,gpt4omini,1.0,1.0,,
R-HSA-114259,gpt4omini,0.5,0.5,,
R-HSA-8938174,gpt4omini,1.0,1.0,,
R-HSA-1606839,gpt4omini,0.5,1.0,,
R-HSA-9836467,gpt4omini,1.0,1.0,,
R-HSA-9692131,gpt4omini,1.0,1.0,,
R-HSA-2466068,gpt4omini,,,0.5,0.8
R-HSA-9758674,gpt4omini,,,0.3333333333333333,0.3333333333333333
R-HSA-8870499,gpt4omini,,,1.0,1.0
R-HSA-2033476,gpt4omini,,,1.0,1.0
R-HSA-445704,gpt4omini,,,0.0,0.0
R-HSA-5362522,gpt4omini,,,1.0,1.0
R-HSA-448421,gpt4omini,,,1.0,1.0
R-HSA-141348,gpt4omini,,,0.3333333333333333,0.3333333333333333
R-HSA-162821,gpt4omini,,,0.5,0.5
R-HSA-193650,gpt4omini,,,0.666666666666667,0.75
