reaction_id,overall_two,numCorrect_two,overall_one,numCorrect_one,overall_zero,numCorrect_zero
R-HSA-2168982,0.0,0,0.0,0,0.5,1
R-HSA-2179387,0.0,0,0.0,0,0.0,0
R-HSA-2187401,0.2,1,0.0,0,0.8,4
R-HSA-2213210,0.75,3,0.75,3,0.0,0
R-HSA-2230938,0.0,0,0.0,0,0.0,0
R-HSA-2272795,0.0,0,0.0,0,0.0,0
R-HSA-2318623,0.0,0,0.0,0,0.0,0
R-HSA-2395439,0.0,0,0.0,0,0.0909090909090909,1
R-HSA-2396561,0.0,0,0.0,0,0.0,0
R-HSA-2404199,0.0,0,0.0,0,0.2,1
R-HSA-2424480,1.0,2,1.0,2,0.0,0
R-HSA-2426450,0.0,0,0.0,0,0.0,0
R-HSA-2464822,0.5,1,0.5,1,0.5,1
R-HSA-2473596,1.0,1,0.0,0,1.0,1
R-HSA-2530453,0.0,0,0.0,0,0.0,0
R-HSA-2559468,0.0,0,0.0,0,0.0,0
R-HSA-264689,0.0,0,0.0,0,0.0,0
R-HSA-265682,0.0,0,0.1428571428571428,1,0.0,0
R-HSA-2671868,0.0,0,0.0,0,0.25,1
R-HSA-2730840,0.0,0,0.0769230769230769,1,0.1538461538461538,2
R-HSA-2730892,0.0,0,0.0,0,0.0,0
R-HSA-2752118,0.0,0,0.0,0,0.0,0
R-HSA-2972949,0.0,0,0.0,0,0.0,0
R-HSA-2990880,0.0,0,0.0,0,0.0,0
R-HSA-3000263,0.0,0,1.0,1,0.0,0
R-HSA-3134822,0.0,0,0.0,0,0.0,0
R-HSA-3204318,0.1111111111111111,1,0.0,0,0.0,0
R-HSA-3222116,0.0,0,0.0,0,0.0,0
R-HSA-3240765,0.0,0,0.0,0,0.0,0
R-HSA-3249390,0.0,0,0.0,0,0.8,4
R-HSA-3322427,0.0,0,0.0,0,0.25,1
R-HSA-3371467,0.0,0,0.027027027027027,1,0.918918918918919,34
R-HSA-350158,0.6666666666666666,2,0.3333333333333333,1,0.0,0
R-HSA-351913,1.0,1,1.0,1,0.0,0
R-HSA-354073,0.0,0,0.0,0,0.7647058823529411,13
R-HSA-372819,0.3333333333333333,1,0.3333333333333333,1,0.3333333333333333,1
R-HSA-373733,0.0,0,0.0,0,0.0,0
R-HSA-374669,0.0,0,0.0,0,0.0,0
R-HSA-375148,0.0,0,0.0,0,0.0,0
R-HSA-376140,0.0,0,0.0,0,0.0,0
R-HSA-3777112,0.0,0,0.5,1,0.5,1
R-HSA-3788075,0.5,2,0.5,2,0.0,0
R-HSA-3797202,0.0,0,0.0,0,1.0,1
R-HSA-380198,0.0,0,0.0,0,0.3333333333333333,1
R-HSA-380869,0.0,0,0.0,0,0.0526315789473684,1
R-HSA-381446,0.6,3,0.6,3,0.0,0
R-HSA-382056,0.0,0,0.0,0,0.0,0
R-HSA-3858495,0.0,0,0.0,0,0.0,0
R-HSA-389156,0.0,0,0.0,0,1.0,4
R-HSA-389821,0.0,0,0.0,0,0.0,0
R-HSA-390224,0.0,0,0.0,0,0.0,0
R-HSA-390846,0.0,0,0.25,1,0.0,0
R-HSA-391913,0.0,0,0.0,0,0.0,0
R-HSA-392748,0.0,0,0.0,0,0.0,0
R-HSA-3928608,0.0,0,1.0,2,0.0,0
R-HSA-3928657,0.0,0,0.0,0,0.0,0
R-HSA-399938,0.25,1,0.75,3,0.5,2
R-HSA-400492,0.0,0,0.0,0,0.0,0
R-HSA-4085217,0.0,0,0.0,0,0.0,0
R-HSA-4088220,0.0,0,0.0,0,0.0,0
R-HSA-416516,0.0,0,0.0,0,0.0,0
R-HSA-418091,0.0,0,0.0,0,0.0,0
R-HSA-418863,0.6,3,0.0,0,0.4,2
R-HSA-419841,0.0,0,0.0,0,0.0,0
R-HSA-420818,0.0,0,0.0,0,0.0,0
R-HSA-425923,1.0,1,1.0,1,1.0,1
R-HSA-427645,0.0,0,0.0,0,0.5,1
R-HSA-428536,0.0,0,0.0,0,0.0,0
R-HSA-429497,0.0,0,0.0,0,0.0,0
R-HSA-430073,0.0,0,0.0,0,0.0,0
R-HSA-432172,0.0,0,0.0,0,0.0,0
R-HSA-4332359,0.5,2,0.5,2,0.0,0
R-HSA-435366,1.0,1,0.0,0,0.0,0
R-HSA-4411357,0.0,0,0.0,0,1.0,1
R-HSA-442393,1.0,1,0.0,0,0.0,0
R-HSA-443978,0.0,0,0.0,0,0.0,0
R-HSA-444705,0.0,0,0.0,0,0.0,0
R-HSA-445704,0.0,0,0.0,0,0.0,0
R-HSA-446215,0.0,0,0.5,1,0.5,1
R-HSA-448421,0.0,0,0.0,0,0.0,0
R-HSA-449115,0.0,0,0.0,0,0.5714285714285714,4
R-HSA-450259,1.0,4,0.0,0,0.0,0
R-HSA-450595,0.0,0,0.0,0,0.6666666666666666,2
R-HSA-452100,0.1111111111111111,1,0.0,0,0.1111111111111111,1
R-HSA-4570463,0.0,0,0.0,0,0.0,0
R-HSA-4641147,0.0,0,0.0,0,0.0,0
R-HSA-4755524,0.0,0,0.0,0,0.0,0
R-HSA-4827383,0.5,1,0.5,1,0.0,0
R-HSA-508040,0.25,1,0.5,2,0.5,2
R-HSA-5138441,0.0,0,0.0,0,0.5,2
R-HSA-5205867,0.5,1,0.5,1,0.5,1
R-HSA-5218645,0.0,0,0.0,0,0.0,0
R-HSA-5218850,0.0,0,0.25,2,0.625,5
R-HSA-5228407,0.2,1,0.0,0,0.0,0
R-HSA-5244500,0.0,0,0.0,0,0.0,0
R-HSA-5250978,0.0,0,0.0,0,0.0,0
R-HSA-532678,0.3333333333333333,1,0.0,0,0.0,0
R-HSA-5336466,0.0,0,0.0,0,0.0,0
R-HSA-5357831,0.0,0,0.5,1,0.0,0
R-HSA-5362412,0.0,0,0.0,0,0.1428571428571428,1
R-HSA-5389839,0.0,0,0.0,0,0.0111111111111111,1
R-HSA-5432852,0.0,0,0.0,0,0.0,0
R-HSA-549424,0.0,0,0.0,0,1.0,1
R-HSA-5591040,0.3333333333333333,1,0.6666666666666666,2,0.0,0
R-HSA-560510,0.0,0,0.0,0,1.0,1
R-HSA-5607745,0.0,0,0.0,0,0.0,0
R-HSA-5610730,0.75,3,0.0,0,0.0,0
R-HSA-5617178,0.3333333333333333,1,0.0,0,0.0,0
R-HSA-5617672,0.0,0,0.0,0,1.0,1
R-HSA-5618328,0.0,0,0.0,0,0.0,0
R-HSA-5624492,0.1666666666666666,1,0.0,0,0.0,0
R-HSA-5625870,0.1176470588235294,2,0.1176470588235294,2,0.3529411764705882,6
R-HSA-5632732,0.0,0,0.0,0,0.0,0
R-HSA-5634750,0.5,1,0.5,1,0.5,1
R-HSA-5637795,0.1666666666666666,1,0.1666666666666666,1,0.1666666666666666,1
R-HSA-5649686,1.0,2,0.5,1,0.0,0
R-HSA-5651792,0.0,0,0.3333333333333333,1,0.3333333333333333,1
R-HSA-5653968,0.0,0,0.0,0,0.0,0
R-HSA-5654425,0.0,0,0.0,0,0.0,0
R-HSA-5654605,0.0,0,0.0,0,0.0,0
R-HSA-5654667,0.0,0,0.0,0,0.0,0
R-HSA-5655243,0.1538461538461538,2,0.0,0,0.6153846153846154,8
R-HSA-5655347,0.0,0,0.2,1,0.2,1
R-HSA-5657665,0.0,0,0.6666666666666666,2,0.0,0
R-HSA-5660503,0.0,0,0.0,0,1.0,1
R-HSA-5661124,0.0,0,0.5,2,0.0,0
R-HSA-5662615,0.0,0,0.3333333333333333,1,0.0,0
R-HSA-5663252,0.0,0,0.0,0,0.0,0
R-HSA-5666104,0.0,0,0.0,0,0.0,0
R-HSA-5668932,0.2222222222222222,2,0.1111111111111111,1,0.0,0
R-HSA-5672083,0.0,0,0.0,0,0.0,0
R-HSA-5674366,0.0,0,0.0,0,0.0,0
R-HSA-5676598,0.375,3,0.0,0,0.125,1
R-HSA-5679266,0.0,0,0.0,0,0.0,0
R-HSA-5682794,0.0,0,0.0,0,0.0,0
R-HSA-5683831,0.0,0,0.0,0,0.0,0
R-HSA-5684862,0.5,3,0.0,0,0.0,0
R-HSA-5685902,1.0,1,1.0,1,1.0,1
R-HSA-5686900,0.0,0,0.0,0,0.6818181818181818,15
R-HSA-5687465,0.0,0,0.0,0,1.0,5
R-HSA-5689649,0.0,0,0.0,0,0.0,0
R-HSA-5690808,0.2,1,0.0,0,0.4,2
R-HSA-5691507,0.0,0,0.0,0,0.0,0
R-HSA-5693012,0.0,0,0.0,0,0.0,0
R-HSA-5693583,0.0,0,0.0,0,0.1,1
R-HSA-5694109,0.0,0,0.0,0,0.0,0
R-HSA-5694563,0.0,0,0.0,0,0.0,0
R-HSA-5696448,0.0,0,0.0,0,0.0,0
R-HSA-5696968,0.2,1,0.0,0,0.2,1
R-HSA-6781833,0.0,0,0.0,0,0.0,0
R-HSA-6782434,0.0,0,0.5,1,0.5,1
R-HSA-6784006,0.25,2,0.25,2,0.5,4
R-HSA-6785087,0.0,0,0.0,0,0.0,0
R-HSA-6785986,0.0,0,0.0,0,0.1923076923076923,5
R-HSA-6786567,0.0,0,0.0,0,0.5,1
R-HSA-6788295,0.0,0,0.0,0,0.5,1
R-HSA-6789325,0.0,0,0.0,0,0.0,0
R-HSA-6791228,0.0,0,0.0,0,0.0208333333333333,1
R-HSA-6793685,0.0,0,0.0,0,0.5,1
R-HSA-6797268,1.0,1,0.0,0,1.0,1
R-HSA-6798126,0.0,0,0.0,0,1.0,1
R-HSA-6798749,0.0,0,0.0,0,0.0,0
R-HSA-6799815,0.0,0,0.0,0,0.7142857142857143,5
R-HSA-6800798,0.0,0,0.0,0,0.0,0
R-HSA-6801776,0.0,0,0.0,0,0.0,0
R-HSA-6802942,0.0,0,0.0,0,0.2222222222222222,2
R-HSA-6803836,0.0,0,0.0,0,0.0,0
R-HSA-6804527,0.0,0,0.0,0,0.3333333333333333,2
R-HSA-6805620,0.0,0,0.0,0,0.0,0
R-HSA-6806957,0.3333333333333333,1,0.0,0,0.0,0
R-HSA-6807866,0.0,0,0.0,0,0.0,0
R-HSA-6809663,0.0,0,0.0,0,0.0,0
R-HSA-6810472,0.5,1,0.0,0,0.5,1
R-HSA-6811522,1.0,2,0.5,1,1.0,2
R-HSA-6814555,0.0,0,0.0,0,0.0,0
R-HSA-68825,0.2,1,0.0,0,0.2,1
R-HSA-69144,0.0,0,0.0,0,0.0526315789473684,1
R-HSA-70471,0.0,0,0.0,0,0.0,0
R-HSA-70664,0.5,1,0.5,1,0.5,1
R-HSA-70975,0.0,0,0.0,0,0.0,0
R-HSA-71286,0.0,0,0.0,0,0.0,0
R-HSA-71802,0.3333333333333333,1,0.3333333333333333,1,0.0,0
R-HSA-727768,0.3333333333333333,2,0.1666666666666666,1,0.0,0
R-HSA-73722,0.3333333333333333,1,0.0,0,0.3333333333333333,1
R-HSA-73945,0.0,0,0.0,0,0.0,0
R-HSA-74376,0.0,0,0.25,1,0.0,0
R-HSA-74885,0.0,0,0.0,0,0.0,0
R-HSA-751001,0.0,0,0.0,0,0.3333333333333333,2
R-HSA-75862,0.0,0,0.0,0,0.0,0
R-HSA-76453,1.0,3,1.0,3,0.6666666666666666,2
R-HSA-77299,0.5,1,0.5,1,0.5,1
R-HSA-77594,0.0,0,0.0,0,0.0,0
R-HSA-844620,0.0,0,0.0,0,0.0,0
R-HSA-879221,0.0,0,0.0,0,0.0,0
R-HSA-880007,0.0,0,0.5,1,0.0,0
R-HSA-8848246,0.0,0,0.0,0,0.0,0
R-HSA-8848776,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-8849748,0.0,0,0.0,0,0.0,0
R-HSA-8850854,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,2
R-HSA-8851842,0.0,0,0.0,0,0.0,0
R-HSA-8852280,0.0,0,0.0,0,0.0,0
R-HSA-8853429,0.0,0,0.0,0,0.0,0
R-HSA-8853965,0.0,0,0.0,0,0.5,3
R-HSA-8854905,0.0,0,0.625,10,0.75,12
R-HSA-8856813,0.0,0,0.0,0,0.0555555555555555,1
R-HSA-8862280,0.0,0,0.0,0,0.0,0
R-HSA-8863914,0.0,0,0.0,0,0.0,0
R-HSA-8865050,0.0,0,0.1428571428571428,1,0.0,0
R-HSA-8865994,0.0,0,0.0,0,0.0,0
R-HSA-8867098,0.0,0,0.0,0,0.4285714285714285,3
R-HSA-8868659,0.0,0,0.0,0,0.0,0
R-HSA-8870289,0.0,0,0.0,0,0.0,0
R-HSA-8871370,0.0,0,0.0,0,1.0,1
R-HSA-8874195,0.0,0,0.0,0,0.0,0
R-HSA-8875374,0.0,0,0.0,0,0.0,0
R-HSA-8876255,0.0,0,0.0,0,0.0,0
R-HSA-8877348,0.0,0,0.0,0,0.1666666666666666,1
R-HSA-8878050,0.0,0,0.0,0,0.0,0
R-HSA-888589,0.0588235294117647,1,0.0,0,0.7647058823529411,13
R-HSA-8932633,1.0,1,1.0,1,1.0,1
R-HSA-893596,0.0,0,0.0,0,0.0,0
R-HSA-8937022,0.0,0,0.0,0,0.3636363636363636,4
R-HSA-8937989,0.0,0,0.0,0,0.0,0
R-HSA-8938487,0.0,0,0.0,0,0.0,0
R-HSA-8939706,0.0,0,0.0,0,0.3333333333333333,2
R-HSA-8941613,0.0,0,0.2,1,0.0,0
R-HSA-8943987,0.0,0,0.0,0,0.0,0
R-HSA-8944262,0.0,0,0.0,0,0.5,1
R-HSA-8948136,0.0,0,0.0,0,0.0,0
R-HSA-8948800,0.0,0,0.0,0,0.0,0
R-HSA-8950213,0.0,0,0.0,0,1.0,1
R-HSA-8950453,0.0,0,0.0,0,0.0,0
R-HSA-8950737,0.0,0,0.0,0,0.3333333333333333,1
R-HSA-8951723,0.0,0,0.0,0,1.0,5
R-HSA-8952442,0.0,0,0.0,0,0.0,0
R-HSA-8953499,0.5,1,0.5,1,0.0,0
R-HSA-8955794,0.5,1,0.0,0,0.0,0
R-HSA-8956659,0.5,1,0.5,1,0.0,0
R-HSA-8961888,0.0,0,0.0,0,0.4,2
R-HSA-8964317,0.6666666666666666,2,0.6666666666666666,2,0.0,0
R-HSA-8980691,0.0,0,0.75,3,0.25,1
